go run cmd/server/main.go
2026/05/08 16:49:43 config path: ./config/config-local.yml
{"level":"info","ts":1778233783.9944608,"caller":"server/main.go:36","msg":"starting CMS Service","service":"cdc-cms-service","port":":8083"}
{"level":"info","ts":1778233783.9956899,"caller":"observability/otel.go:85","msg":"OpenTelemetry initialized","service":"cdc-cms","endpoint":"http://localhost:14318","sample_ratio":1}
{"level":"info","ts":1778233783.995755,"msg":"OTel zap bridge active — logs forwarding to SigNoz"}
{"level":"info","ts":1778233784.0472262,"msg":"PostgreSQL (control plane) connected"}
{"level":"info","ts":1778233784.068557,"msg":"PostgreSQL (shadow data plane) connected","host":"localhost","port":5436,"database":"cdc_shadow"}
{"level":"info","ts":1778233784.08466,"msg":"NATS JetStream connected","url":"nats://cdc_worker:worker_secret_2026@localhost:14222"}
{"level":"info","ts":1778233784.089108,"msg":"Redis connected","addr":"localhost:16379"}
{"level":"info","ts":1778233784.0894458,"msg":"CMS Service started","port":":8083"}
{"level":"info","ts":1778233784.08946,"msg":"system health collector started"}
{"level":"info","ts":1778233784.089464,"msg":"audit logger started"}
{"level":"info","ts":1778233784.0894668,"msg":"alert background resolver started"}
{"level":"info","ts":1778233784.089646,"msg":"stuck job reaper started","interval":30,"type_count":16,"default_timeout":30}
16:49:44 | 204 |     298.292µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:51:01 | 200 |    8.493625ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:01 | 204 |      27.625µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:51:01 | 200 |    6.138709ms | 127.0.0.1 | GET | /api/v1/sources | -
16:51:11 | 204 |      82.083µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:51:11 | 200 |    6.767792ms | 127.0.0.1 | GET | /api/v1/masters | -
16:50:42 | 502 | 30.027967042s | 127.0.0.1 | POST | /api/v1/system/connectors | -
16:51:15 | 204 |        10.5µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:51:15 | 200 |    2.677791ms | 127.0.0.1 | GET | /api/v1/sources | -
16:51:15 | 204 |       7.584µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:15 | 200 |    6.774833ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:16 | 204 |      15.958µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:16 | 200 |   30.907166ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:26 | 204 |          12µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:51:26 | 200 |    16.61525ms | 127.0.0.1 | GET | /api/v1/masters | -
16:51:30 | 204 |      18.166µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:30 | 200 |  257.021291ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:31 | 204 |      16.292µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:31 | 200 |   13.820875ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:32 | 204 |       8.917µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:51:32 | 200 |   43.686417ms | 127.0.0.1 | GET | /api/v1/sources | -
16:51:41 | 204 |      43.917µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:51:41 | 200 |   10.598416ms | 127.0.0.1 | GET | /api/v1/masters | -
16:51:45 | 204 |      18.084µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:51:45 | 200 |    3.980875ms | 127.0.0.1 | GET | /api/v1/sources | -
16:51:46 | 204 |       6.834µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:46 | 200 |   11.440292ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:47 | 204 |      15.709µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:51:47 | 200 |   24.449333ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:51:56 | 204 |      37.709µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:51:56 | 200 |   14.100042ms | 127.0.0.1 | GET | /api/v1/masters | -
16:52:01 | 204 |      22.542µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:01 | 200 |      15.666ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:02 | 204 |      14.916µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:52:02 | 200 |    8.497667ms | 127.0.0.1 | GET | /api/v1/sources | -
16:52:02 | 204 |       9.917µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:02 | 200 |   18.889208ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:11 | 204 |      17.666µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:52:11 | 200 |    14.68375ms | 127.0.0.1 | GET | /api/v1/masters | -
16:52:15 | 204 |       8.167µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:52:15 | 200 |    3.208917ms | 127.0.0.1 | GET | /api/v1/sources | -
16:52:16 | 204 |      23.833µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:16 | 200 |    37.79175ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:17 | 204 |     482.167µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:17 | 200 |    25.47575ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:27 | 204 |    1.178542ms | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:52:27 | 200 |     17.3355ms | 127.0.0.1 | GET | /api/v1/masters | -
16:52:31 | 204 |        35.5µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:31 | 200 |   23.458042ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:32 | 204 |       7.542µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:52:32 | 200 |    4.982125ms | 127.0.0.1 | GET | /api/v1/sources | -
16:52:32 | 204 |       9.583µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:32 | 200 |   18.294166ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:42 | 204 |      20.834µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:52:42 | 200 |   44.686875ms | 127.0.0.1 | GET | /api/v1/masters | -
16:52:45 | 204 |     254.667µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:52:45 | 200 |   13.497417ms | 127.0.0.1 | GET | /api/v1/sources | -
16:52:46 | 204 |       4.583µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:46 | 200 |   42.367375ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:48 | 204 |      43.625µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:52:48 | 200 |   20.923458ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:52:57 | 204 |     350.209µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:52:57 | 200 |    5.224375ms | 127.0.0.1 | GET | /api/v1/masters | -
16:53:01 | 204 |      26.958µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:01 | 200 |   12.180917ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:02 | 204 |      17.542µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:53:02 | 200 |    10.43075ms | 127.0.0.1 | GET | /api/v1/sources | -
16:53:03 | 204 |       7.292µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:04 | 200 |   14.097875ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:12 | 204 |        36.5µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:53:12 | 200 |    18.17925ms | 127.0.0.1 | GET | /api/v1/masters | -
16:53:15 | 204 |       6.042µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:53:15 | 200 |    2.542958ms | 127.0.0.1 | GET | /api/v1/sources | -
16:53:16 | 204 |      38.875µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:16 | 200 |    38.90875ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:19 | 204 |      29.417µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:19 | 200 |   25.901167ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:28 | 204 |     151.041µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:53:28 | 200 |   39.507542ms | 127.0.0.1 | GET | /api/v1/masters | -
16:53:32 | 204 |     117.042µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:32 | 200 |   20.713625ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:32 | 204 |      13.625µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:53:32 | 200 |       4.654ms | 127.0.0.1 | GET | /api/v1/sources | -
16:53:34 | 204 |      131.25µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:34 | 200 |   19.622125ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:43 | 204 |      132.75µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:53:43 | 200 |      6.7045ms | 127.0.0.1 | GET | /api/v1/masters | -
16:53:46 | 204 |      16.959µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:53:46 | 200 |    3.267334ms | 127.0.0.1 | GET | /api/v1/sources | -
16:53:47 | 204 |      26.416µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:47 | 200 |   19.498166ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:49 | 204 |     118.541µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:53:49 | 200 |   25.373375ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:53:58 | 204 |      19.583µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:53:58 | 200 |   15.793792ms | 127.0.0.1 | GET | /api/v1/masters | -
16:54:02 | 204 |     147.125µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:02 | 200 |   32.180959ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:02 | 204 |       5.875µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:54:02 | 200 |    5.130583ms | 127.0.0.1 | GET | /api/v1/sources | -
16:54:05 | 204 |        13.5µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:05 | 200 |   18.901125ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:13 | 204 |          26µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:54:13 | 200 |    16.77025ms | 127.0.0.1 | GET | /api/v1/masters | -
16:54:16 | 204 |      13.625µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:54:16 | 200 |      3.7905ms | 127.0.0.1 | GET | /api/v1/sources | -
16:54:17 | 204 |      11.125µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:17 | 200 |   37.748625ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:20 | 204 |         8.5µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:20 | 200 |   24.806167ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:28 | 204 |      15.875µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:54:28 | 200 |    9.201917ms | 127.0.0.1 | GET | /api/v1/masters | -
16:54:32 | 204 |      29.167µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:32 | 200 |     21.0565ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:32 | 204 |        7.25µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:54:32 | 200 |   45.286625ms | 127.0.0.1 | GET | /api/v1/sources | -
16:54:35 | 204 |      39.042µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:35 | 200 |   25.584458ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
16:54:43 | 204 |     610.333µs | 127.0.0.1 | OPTIONS | /api/v1/masters | -
16:54:43 | 200 |   11.160583ms | 127.0.0.1 | GET | /api/v1/masters | -
16:54:46 | 204 |      30.834µs | 127.0.0.1 | OPTIONS | /api/v1/sources | -
16:54:46 | 200 |   14.908625ms | 127.0.0.1 | GET | /api/v1/sources | -
16:54:47 | 204 |      15.458µs | 127.0.0.1 | OPTIONS | /api/v1/system/connectors | -
16:54:47 | 200 |   30.343583ms | 127.0.0.1 | GET | /api/v1/system/connectors | -
signal: killed
make: *** [run] Error 1
